id,vid,vendor,pid,device,type,net,screen,height,width,driver,image,,,,,
d-03f0-1801,v-03f0,Hewlett-Packard,p-1801,Inkjet P-2000U,,,,,,,,,,,,
d-03f0-1802,v-03f0,Hewlett-Packard,p-1802,PhotoSmart 470 series,,,,,,,,,,,,
d-03f0-1804,v-03f0,Hewlett-Packard,p-1804,DeskJet 916C,,,,,,,,,,,,
d-03f0-1805,v-03f0,Hewlett-Packard,p-1805,ScanJet 7650,,,,,,,,,,,,
d-03f0-1811,v-03f0,Hewlett-Packard,p-1811,PSC 720,,,,,,,,,,,,
d-03f0-1812,v-03f0,Hewlett-Packard,p-1812,OfficeJet Pro K550,,,,,,,,,,,,
d-03f0-1817,v-03f0,Hewlett-Packard,p-1817,LaserJet 3030,,,,,,,,,,,,
d-03f0-181d,v-03f0,Hewlett-Packard,p-181d,integrated module with Bluetooth 2.0 wireless technology.,,,,,,,,,,,,
d-03f0-1902,v-03f0,Hewlett-Packard,p-1902,PhotoSmart A430 series,,,,,,,,,,,,
d-03f0-1904,v-03f0,Hewlett-Packard,p-1904,DeskJet 3820,,,,,,,,,,,,
d-03f0-1911,v-03f0,Hewlett-Packard,p-1911,OfficeJet V45,,,,,,,,,,,,
d-03f0-1917,v-03f0,Hewlett-Packard,p-1917,LaserJet 3380,,,,,,,,,,,,
d-03f0-1a02,v-03f0,Hewlett-Packard,p-1a02,PhotoSmart A510 series,,,,,,,,,,,,
d-03f0-1a11,v-03f0,Hewlett-Packard,p-1a11,OfficeJet 5100 series,,,,,,,,,,,,
d-03f0-1a17,v-03f0,Hewlett-Packard,p-1a17,color LaserJet 4650,,,,,,,,,,,,
d-03f0-1b02,v-03f0,Hewlett-Packard,p-1b02,PhotoSmart A610 series,,,,,,,,,,,,
d-03f0-1b04,v-03f0,Hewlett-Packard,p-1b04,DeskJet 3810,,,,,,,,,,,,
d-03f0-1b05,v-03f0,Hewlett-Packard,p-1b05,ScanJet 4850C/4890C,,,,,,,,,,,,
d-03f0-1b07,v-03f0,Hewlett-Packard,p-1b07,Premium Starter Webcam,,,,,,,,,,,,
d-03f0-1c02,v-03f0,Hewlett-Packard,p-1c02,PhotoSmart A710 series,,,,,,,,,,,,
d-03f0-1c17,v-03f0,Hewlett-Packard,p-1c17,Color LaserJet 2550l,,,,,,,,,,,,
d-03f0-1d02,v-03f0,Hewlett-Packard,p-1d02,PhotoSmart A310 series,,,,,,,,,,,,
d-03f0-1d17,v-03f0,Hewlett-Packard,p-1d17,LaserJet 1320,,,,,,,,,,,,
d-03f0-1e02,v-03f0,Hewlett-Packard,p-1e02,PhotoSmart A320 Printer series,,,,,,,,,,,,
d-03f0-1e11,v-03f0,Hewlett-Packard,p-1e11,PSC-950,,,,,,,,,,,,
d-03f0-1e17,v-03f0,Hewlett-Packard,p-1e17,LaserJet 1160 series,,,,,,,,,,,,
d-03f0-1f02,v-03f0,Hewlett-Packard,p-1f02,PhotoSmart A440 Printer series,,,,,,,,,,,,
